央视频道,#genre#
CCTV1HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls
CCTV1HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV1,http://39.135.15.70:6610/PLTV/88888888/224/3221226030/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.135.15.70:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV3HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV3HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV4HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV4HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
CCTV5HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV6HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV6HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls
CCTV7,http://39.135.15.70:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV8HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV8HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226060/1/index.m3u8?fmt=ts2hls
CCTV9,http://39.135.15.70:6610/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV10,http://39.135.15.70:6610/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV11,http://39.135.15.70:6610/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls
CCTV12,http://39.135.15.70:6610/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV13,http://39.135.15.70:6610/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV14,http://39.135.15.70:6610/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
CCTV15,http://39.135.15.70:6610/PLTV/88888888/224/3221225749/1/index.m3u8?fmt=ts2hls
CCTV17,http://39.135.15.70:6610/PLTV/88888888/224/3221226027/1/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://39.135.15.70:6610/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
CCTV电视指南,http://39.135.15.70:6610/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
CCTV第一剧场,http://39.135.15.70:6610/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://39.135.15.70:6610/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://39.135.15.70:6610/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://39.135.15.70:6610/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,http://39.135.15.70:6610/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://39.135.15.70:6610/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
CCTV老故事,http://39.135.15.70:6610/PLTV/88888888/224/3221225677/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://39.135.15.70:6610/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://39.135.15.70:6610/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
CCTV中学生,http://39.135.15.70:6610/PLTV/88888888/224/3221225663/1/index.m3u8?fmt=ts2hls
CCTV新科动漫,http://39.135.15.70:6610/PLTV/88888888/224/3221225678/1/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://39.135.15.70:6610/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
CGTN,http://39.135.15.70:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls
CGTN记录,http://39.135.15.70:6610/PLTV/88888888/224/3221225670/1/index.m3u8?fmt=ts2hls
CGTN法语,http://39.135.15.70:6610/PLTV/88888888/224/3221225665/1/index.m3u8?fmt=ts2hls
CGTN西班牙语,http://39.135.15.70:6610/PLTV/88888888/224/3221225666/1/index.m3u8?fmt=ts2hls
CGTN阿拉伯语,http://39.135.15.70:6610/PLTV/88888888/224/3221225669/1/index.m3u8?fmt=ts2hls
CGTN俄语,http://39.135.15.70:6610/PLTV/88888888/224/3221225667/1/index.m3u8?fmt=ts2hls
CETV-1HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
CETV早期教育,http://39.135.15.70:6610/PLTV/88888888/224/3221225679/1/index.m3u8?fmt=ts2hls
卫星频道,#genre#
安徽卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
安徽卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226072/1/index.m3u8?fmt=ts2hls
北京卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226049/1/index.m3u8?fmt=ts2hls
北京卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225754/1/index.m3u8?fmt=ts2hls
北京纪实HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225768/1/index.m3u8?fmt=ts2hls
北京纪实HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226075/1/index.m3u8?fmt=ts2hls
东方卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls
东方卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225783/1/index.m3u8?fmt=ts2hls
上海纪实HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225767/1/index.m3u8?fmt=ts2hls
